ID,SHOWS,AVILIO_ID,NR,MEETING_ID,GROUP_ID,DOC_ID,CREATOR_ID,EXPIRE_DATE,APROVED,NOW_ACTIVE,LATER_ACTIVE,NEXT_ACTIVE,NOW_VOTING,QUESTION_HASH,STATUS_DESC
21556,"DĖL UAB „PRANCIŠKONŲ RŪMAI“ 2011 METŲ NEKILNOJAMOJO TURTO MOKESČIO MOKĖJIMO",55185530ef1311e0bbbfb08d009cc193,11,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21557,"DĖL PRITARIMO VILNIAUS MIESTO SOCIALINIŲ PASLAUGŲ ĮSTAIGŲ PROJEKTŲ, FINANSUOTINŲ PAGAL 2007–2013 M. SANGLAUDOS SKATINIMO VEIKSMŲ PROGRAMOS II PRIORITETO „VIEŠŲJŲ PASLAUGŲ KOKYBĖ IR PRIEINAMUMAS: SVEIKATOS, ŠVIETIMO IR SOCIALINĖ INFRASTRUKTŪRA“ VP3-2.4-SADM-03-V PRIEMONĘ „STACIONARIŲ SOCIALINIŲ PASLAUGŲ INFRASTRUKTŪROS PLĖTRA“, ĮGYVENDINIMUI",79d9bc60ef3611e0bbc6b08d009cc193,12,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21558,"DĖL BIUDŽETINĖS ĮSTAIGOS VILNIAUS SVEIKO MIESTO BIURO REORGANIZAVIMO",7a833410ef3c11e0bbc6b08d009cc193,13,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21559,"DĖL BENDRABUČIO JERUZALĖS G. 27-305 IŠNUOMOJIMO EDITAI MASIUKAITEI",ad6c5870ef3c11e0bbc6b08d009cc193,14,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21560,"DĖL SOCIALINIO BŪSTO LAISVĖS PR. 39-59 IŠNUOMOJIMO EDMUNDUI BUKLIUI",77d0efe0ef3d11e0bbc8b08d009cc193,15,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21561,"DĖL NAMO K. KALINAUSKO G. 12 PERĖMIMO",0a35ada0ef5a11e0bbceb08d009cc193,16,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21562,"DĖL SUSISIEKIMO KOMUNIKACIJŲ IR JŲ INŽINERINIŲ TINKLŲ STATYBOS, REKONSTRAVIMO IR KAPITALINIO REMONTO, 
DALYVAUJANT FIZINIAMS IR JURIDINIAMS ASMENIMS, TVARKOS APRAŠO TVIRTINIMO",aa7c9710f41411e0bc2eb08d009cc193,17,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21563,"DĖL ĮSIPAREIGOJIMO GRĄŽINTI PROJEKTO „TRANSEUROPINIO TINKLO JUNGTIS – VILNIAUS MIESTO VAKARINIO APLINKKELIO II ETAPAS“ LĖŠAS",3fd6fde0ef3e11e0bbc8b08d009cc193,18,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21564,"DĖL KELEIVIŲ IR BAGAŽO VEŽIMO AUTOBUSAIS IR TROLEIBUSAIS VILNIAUS MIESTE TAISYKLIŲ TVIRTINIMO",5fc1c4a0ef3e11e0bbc8b08d009cc193,19,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21565,"DĖL AUTOMOBILIŲ IR DVIRAČIŲ TRANSPORTO PRIEMONIŲ STOVĖJIMO ĮKAINIŲ SĮ „SUSISIEKIMO PASLAUGOS“ EKSPLOATUOJAMOSE AUTOMOBILIŲ STOVĖJIMO AIKŠTELĖSE NUSTATYMO",c29e46d0ef5b11e0bbceb08d009cc193,20,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21566,"DĖL UAB „VILNIAUS AUTOBUSAI“ IR UAB „VILNIAUS TROLEIBUSAI“   REORGANIZAVIMO SUJUNGIMO BŪDU IR    
UAB „VILNIAUS VIEŠASIS TRANSPORTAS“ ĮSTEIGIMO",21d4bf70effd11e0bbd8b08d009cc193,21,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21567,"DĖL MAŽMENINĖS PREKYBOS ALKOHOLINIAIS GĖRIMAIS LICENCIJAVIMO",7dcf8e00ef3e11e0bbc8b08d009cc193,22,9864255,2,0,50,"2011-10-04 11:35:04",1,,0,0,,c945a3fc0e82fbec7c9740ce7ac21e63,"Išbraukta iš darbotvarkės"
21568,"DĖL TARYBOS 2005-01-19 SPRENDIMO NR. 1-640 „DĖL MAŽMENINĖS PREKYBOS TABAKO GAMINIAIS LICENCIJAVIMO“ PRIPAŽINIMO NETEKUSIU GALIOS",9b1ced90ef3e11e0bbc8b08d009cc193,23,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21569,"DĖL TARYBOS 2010-06-09 SPRENDIMO NR. 1-1589 ,,DĖL VIEŠŲJŲ DARBŲ ĮGYVENDINIMO IR DARBDAVIŲ ATRANKOS KOMISIJOS SUDARYMO, JOS DARBO REGLAMENTO IR VIEŠŲJŲ DARBŲ SĄRAŠO TVIRTINIMO“ PAKEITIMO",fe37de80ef3e11e0bbc8b08d009cc193,24,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21570,"DĖL UAB ,,GRIGIŠKIŲ KOMUNALINIS ŪKIS“ LIKVIDAVIMO",3e6d6970f00711e0bbdcb08d009cc193,25,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21571,"DĖL ADMINISTRACINIŲ PATALPŲ IR AUTOMOBILIŲ STOVĖJIMO AIKŠTELĖS, KONSTITUCIJOS PR. 3, VILNIUJE, NUOMOS PIRKIMO",b9811ee0ef3f11e0bbc8b08d009cc193,26,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21572,"DĖL NEGYVENAMŲJŲ PATALPŲ VYTENIO G. 6 / A. VIVULSKIO G. 23 IŠNUOMOJIMO NE KONKURSO BŪDU LIETUVOS RADIJO IR TELEVIZIJOS KOMISIJAI",d6f23310ef3f11e0bbc8b08d009cc193,27,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21573,"DĖL PAPILDOMŲ PATALPŲ GĖLIŲ G. 7 PERDAVIMO PAGAL PANAUDOS SUTARTĮ
LIETUVOS ŽMONIŲ SU NEGALIA SĄJUNGAI",f7e960c0ef3f11e0bbc8b08d009cc193,28,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21574,"DĖL PRITARIMO VILNIAUS MIESTO SAVIVALDYBĖS TERITORIJOS BENDROJO PLANO IKI 2015 METŲ SPRENDINIŲ ĮGYVENDINIMO STEBĖSENOS (MONITORINGO) ATASKAITAI",1c810dc0ef4011e0bbc8b08d009cc193,29,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21575,"DĖL SKLYPO KONSTITUCIJOS PR. 16 DETALIOJO PLANO TVIRTINIMO",40d1c6b0ef4011e0bbc8b08d009cc193,30,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
21576,"DĖL TERITORIJOS TARP ČEKONIŠKIŲ, GELEŽIŲ IR VARNĖS GATVIŲ DETALIOJO PLANO TVIRTINIMO",9e2560b0ef4011e0bbc8b08d009cc193,31,9864255,2,0,50,"2011-10-04 11:35:04",2,,0,0,,5c6006c5420433a2a51ea7235296a4f6,
